latitude,longitude,state_region,elevation_m,slope_deg,aspect_deg,curvature,rainfall_mm,soil_moisture,temperature_c,humidity_pct,land_cover,historical_landslide_count,days_since_previous_event,landslide,risk_category_prototype
30.93975,76.924241,Himachal Pradesh,926.33,6.2,320.07,0.1391,174.22,0.6838,23.87,58.09,Cropland,6,3122,1,HIGH
12.459333,77.706433,Karnataka,2160.18,12.79,192.45,0.2016,287.17,0.3819,12.81,57.3,Cropland,10,3840,0,MODERATE
18.892748,77.341394,Maharashtra,877.08,14.39,260.96,0.1366,96.23,0.6412,25.59,59.7,Forest,3,3620,1,MODERATE
26.094043,92.468203,Meghalaya,2197.75,5.08,142.03,-0.0494,143.72,0.9212,9.28,42.74,Forest,1,3715,0,MODERATE
25.225098,91.560027,Meghalaya,3804.13,10.05,87.52,-0.1337,251.19,0.1011,8.66,54.61,Cropland,4,2803,0,MODERATE
8.24875,79.300879,Tamil Nadu,1052.03,8.63,272.27,0.2508,98.2,0.3931,26.25,78.08,Built-up,5,2739,1,LOW
30.47185,78.698856,Himachal Pradesh,1212.82,14.83,53.59,-0.2023,31.17,0.5849,22.98,60.63,Forest,3,1465,0,NO_RISK
15.68014,75.245829,Maharashtra,2999.2,12.31,267.42,0.3014,90.26,0.6087,13.33,42.82,Barren,5,2915,0,MODERATE
28.064058,88.143932,Sikkim,1590.35,45.29,25.14,0.1243,42.09,0.4022,13.94,48.4,Barren,5,2334,1,CRITICAL
29.109367,78.955761,Uttarakhand,1428.46,20.1,24.56,-0.2166,375.03,0.5254,21.61,68.71,Forest,11,1500,0,HIGH
26.445413,89.869483,West Bengal,1518.37,15.82,310.04,-0.018,64.53,0.5338,19.97,47.08,Cropland,5,2114,0,LOW
35.163127,74.280969,Jammu and Kashmir,1951.7,8.48,31.32,-0.0103,235.69,0.724,15.42,54.77,Barren,8,3320,0,HIGH
16.182507,77.030367,Karnataka,2197.83,8.23,226.77,0.0884,66.02,0.4573,14.82,53.53,Grassland,0,-1,0,LOW
11.661736,77.455902,Karnataka,4222.07,7.86,257.92,0.033,171.35,0.2485,3.43,74.86,Forest,8,1309,0,LOW
20.6043,73.782155,Maharashtra,820.82,10.28,289.89,0.169,72.07,0.3309,21.46,57.89,Built-up,3,2215,0,MODERATE
15.168147,74.23903,Karnataka,1775.51,15.92,219.19,-0.1742,162.79,0.3218,17.07,62.13,Cropland,7,1809,0,MODERATE
25.123205,89.0959,West Bengal,118.56,12.89,279.57,0.1161,82.26,0.521,35.0,49.01,Forest,2,2924,1,LOW
29.51253,81.022949,Uttarakhand,1706.62,2.84,171.09,0.0441,229.54,0.8541,14.48,59.2,Shrubland,6,1039,0,HIGH
13.407141,76.812906,Tamil Nadu,119.07,13.83,173.8,0.239,12.94,0.5604,24.13,58.25,Forest,2,2347,0,MODERATE
25.473605,92.613036,Meghalaya,1328.31,14.5,176.44,0.2598,56.53,0.6412,20.52,62.19,Forest,2,387,0,MODERATE
27.076538,89.130624,West Bengal,663.72,28.81,81.47,0.1599,58.87,0.3712,20.41,51.59,Shrubland,1,960,1,LOW
25.883925,90.026802,Meghalaya,2273.33,11.38,84.52,0.2586,141.95,0.3494,16.87,55.22,Barren,2,3962,1,MODERATE
27.147902,88.712485,Sikkim,997.42,9.94,264.54,0.0941,227.64,0.3638,28.14,70.49,Cropland,4,3448,1,LOW
34.072087,75.252163,Jammu and Kashmir,1098.15,10.12,41.77,0.0805,132.71,0.4667,21.11,48.51,Shrubland,3,993,0,LOW
15.892147,76.465766,Karnataka,361.09,14.64,78.33,-0.3483,33.88,0.6977,25.71,69.36,Cropland,5,151,0,MODERATE
17.265855,77.842079,Maharashtra,950.4,9.46,139.75,-0.0112,165.93,0.7694,25.28,57.03,Forest,5,1565,1,MODERATE
25.826726,90.890014,Meghalaya,983.69,8.51,68.16,-0.2552,75.48,0.7738,22.21,46.84,Cropland,6,3077,0,HIGH
12.636192,77.923312,Tamil Nadu,1214.97,13.45,294.73,0.1298,108.16,0.7541,25.26,33.0,Shrubland,8,3320,1,HIGH
25.200418,88.528184,West Bengal,1122.22,19.0,301.23,0.1812,235.55,0.4742,16.65,74.78,Barren,5,513,0,MODERATE
